    no in series                                       title   directed by                        written by    original air date  production code
0              1               pilot theo 's economic lesson  jay sandrich  ed weinberger and michael leeson  september 20 , 1984              101
1              2                             goodbye mr fish  jay sandrich                    earl pomerantz  september 27 , 1984              102
2              3                                  bad dreams  jay sandrich                       john markus     october 4 , 1984              103
3              4                              is that my boy  jay sandrich                       john markus    october 11 , 1984              105
4              5                               a shirt story  jay sandrich                       john markus    october 18 , 1984              108
5              6                     breaking with tradition  jay sandrich                    earl pomerantz    october 25 , 1984              106
6              7                               one more time  jay sandrich                    earl pomerantz    november 1 , 1984              107
7              8                     play it again , vanessa  jay sandrich                        jerry ross    november 8 , 1984              109
8              9                              how ugly is he  jay sandrich                       john markus   november 15 , 1984              110
9             10                            bonjour , sondra  jay sandrich        jerry ross & michael loman   november 22 , 1984              111
10            11  knight to night you 're not a mother night  jay sandrich  karyl geld miller & korby siamis    december 6 , 1984              104
11            12                                rudy 's sick  jay sandrich                     matt williams   december 13 , 1984              113
12            13                               father 's day  jay sandrich     john markus & elliot shoenman   december 20 , 1984              112
13            14                            independence day  jay sandrich                     matt robinson    january 10 , 1985              114
14            15                       physician of the year  jay sandrich                       john markus    january 17 , 1985              115
15            16                             jitterbug break  jay sandrich                     matt williams    january 31 , 1985              116
16            17                          theo and the joint  jay sandrich                       john markus    february 7 , 1985              117
17            18                        vanessa 's new class  jay sandrich   matt williams & carmen finestra   february 14 , 1985              118
18            19                               clair 's case  jay sandrich                   winifred hervey   february 21 , 1985              119
19            20                    back to the track , jack  jay sandrich                     matt robinson   february 28 , 1985              120
20            21                           the younger woman  jay sandrich                       john markus      march 14 , 1985              121
21            22                           the slumber party  jay sandrich                   carmen finestra      march 28 , 1985              122
22            23                                    mr quiet  jay sandrich                       emily tracy         may 2 , 1985              125
