             player    nationality          position        years for grizzlies      school / club team
0          sam mack  united states   guard - forward                1997 - 1998                 houston
1      rich manning  united states  forward / center                1995 - 1997              washington
2     cuonzo martin  united states   guard - forward                1995 - 1996                  purdue
3    darrick martin  united states       point guard                1995 - 1996                    ucla
4   tony massenburg  united states     power forward  1997 - 1999 , 2000 - 2002                maryland
5      lee mayberry  united states       point guard                1996 - 1999                arkansas
6           oj mayo  united states    shooting guard                2008 - 2012                     usc
7     darko miličić         serbia            center                2007 - 2009  kk hemofarm ( serbia )
8       mike miller  united states     small forward                2003 - 2008                 florida
9       eric mobley  united states            center                1995 - 1997              pittsburgh
10   lawrence moten  united states    shooting guard                1995 - 1997                syracuse
11     eric murdock  united states       point guard                1995 - 1996              providence
