    school year        class a         class aa                  class aaa       class aaaa        class aaaaa
0     1992 - 93      lazbuddie            bangs                cameron yoe           dayton            abilene
1     1993 - 94      lazbuddie   rosebud - lott  mont belvieu barbers hill  sulphur springs        duncanville
2     1994 - 95      lazbuddie   rosebud - lott  mont belvieu barbers hill         rockwall        duncanville
3     1995 - 96      lazbuddie   rosebud - lott               mount vernon         rockwall            abilene
4     1996 - 97      lazbuddie   rosebud - lott                    dalhart          sherman        duncanville
5     1997 - 98        trenton   rosebud - lott                    dalhart           snyder            abilene
6     1998 - 99      lazbuddie   rosebud - lott                    dalhart      los fresnos            abilene
7   1999 - 2000      lazbuddie   rosebud - lott                    dalhart  sulphur springs            abilene
8     2000 - 01      lazbuddie   rosebud - lott                cameron yoe           snyder            abilene
9     2001 - 02  (unavailable)    (unavailable)              (unavailable)    (unavailable)      (unavailable)
10    2002 - 03  (unavailable)    (unavailable)              (unavailable)    (unavailable)      (unavailable)
11    2003 - 04        trenton   rosebud - lott         hamshire - fannett         cleburne  southlake carroll
12    2004 - 05        trenton   rosebud - lott                    dalhart        brownwood             keller
13    2005 - 06        trenton   rosebud - lott                    dalhart        brownwood             keller
14    2006 - 07        trenton  tuscola jim ned         hamshire - fannett        brownwood             keller
15    2007 - 08          happy   rosebud - lott         hamshire - fannett        brownwood             keller
16    2008 - 09          happy   rosebud - lott                     snyder         magnolia   fort bend dulles
17    2009 - 10          happy        grandview                   giddings         granbury      laredo united
18    2010 - 11          happy   rosebud - lott                   giddings         granbury   fort bend dulles
