   place            player        country  score to par
0      1       ian woosnam          wales     70      e
1     t2    gordon j brand        england     71    + 1
2     t2        nick faldo        england     71    + 1
3     t2  anders forsbrand         sweden     71    + 1
4     t2        robert lee        england     71    + 1
5     t6     andrew brooks       scotland     72    + 2
6     t6       ron commans  united states     72    + 2
7     t6    derrick cooper        england     72    + 2
8     t6   bernhard langer   west germany     72    + 2
9     t6      sam randolph  united states     72    + 2
10    t6       ian stanley      australia     72    + 2
