   year                  english title                 original title               country                         director'
0  2000        yi yi : a one and a two                          yi yi        japan / taiwan                       edward yang
1  2001                 no man 's land                 no man 's land  bosnia - herzegovina                     danis tanovic
2  2002            and your mother too              y tu mamá también                mexico                    alfonso cuarón
3  2003           the man on the train               l'homme du train                france                   patrice leconte
4  2004        house of flying daggers                shi mian mai fu     china / hong kong                       zhang yimou
5  2005                         hidden                          caché      austria / france                    michael haneke
6  2006            the lives of others          das leben der anderen               germany  florian henckel von donnersmarck
7  2007  4 months , 3 weeks and 2 days  4 luni , 3 săptămni şi 2 zile               romania                   cristian mungiu
8  2008                     still life                  sanxia haoren     china / hong kong                       jia zhangke
9  2009                   summer hours                  l'heure d'été                france                   olivier assayas
