    rd                grand prix    pole position      fastest lap   winning driver         constructor  report
0    1     australian grand prix   kimi räikkönen   kimi räikkönen   kimi räikkönen             ferrari  report
1    2      malaysian grand prix     felipe massa   lewis hamilton  fernando alonso  mclaren - mercedes  report
2    3        bahrain grand prix     felipe massa     felipe massa     felipe massa             ferrari  report
3    4        spanish grand prix     felipe massa     felipe massa     felipe massa             ferrari  report
4    5         monaco grand prix  fernando alonso  fernando alonso  fernando alonso  mclaren - mercedes  report
5    6       canadian grand prix   lewis hamilton  fernando alonso   lewis hamilton  mclaren - mercedes  report
6    7  united states grand prix   lewis hamilton   kimi räikkönen   lewis hamilton  mclaren - mercedes  report
7    8         french grand prix     felipe massa     felipe massa   kimi räikkönen             ferrari  report
8    9        british grand prix   lewis hamilton   kimi räikkönen   kimi räikkönen             ferrari  report
9   10       european grand prix   kimi räikkönen     felipe massa  fernando alonso  mclaren - mercedes  report
10  11      hungarian grand prix   lewis hamilton   kimi räikkönen   lewis hamilton  mclaren - mercedes  report
11  12        turkish grand prix     felipe massa   kimi räikkönen     felipe massa             ferrari  report
12  13        italian grand prix  fernando alonso  fernando alonso  fernando alonso  mclaren - mercedes  report
13  14        belgian grand prix   kimi räikkönen     felipe massa   kimi räikkönen             ferrari  report
14  15       japanese grand prix   lewis hamilton   lewis hamilton   lewis hamilton  mclaren - mercedes  report
15  16        chinese grand prix   lewis hamilton     felipe massa   kimi räikkönen             ferrari  report
