    round         country                            circuit          date   pole position     fastest lap   winning rider             winning team  report
0       1       australia  phillip island grand prix circuit       1 march  kenan sofuoğlu     andrew pitt  kenan sofuoğlu           ten kate honda  report
1       2           qatar       losail international circuit      14 march   cal crutchlow     andrew pitt  eugene laverty          parkalgar honda  report
2       3           spain              circuit ricardo tormo       5 april   cal crutchlow   cal crutchlow   cal crutchlow  yamaha world supersport  report
3       4     netherlands                   tt circuit assen      26 april   cal crutchlow   cal crutchlow  eugene laverty          parkalgar honda  report
4       5           italy          autodromo nazionale monza        10 may   cal crutchlow   cal crutchlow   cal crutchlow  yamaha world supersport  report
5       6    south africa                            kyalami        17 may   cal crutchlow  eugene laverty  eugene laverty          parkalgar honda  report
6       7   united states            miller motorsports park        31 may    joan lascorz  kenan sofuoğlu  kenan sofuoğlu           ten kate honda  report
7       8      san marino               misano world circuit       21 june   michele pirro   cal crutchlow   cal crutchlow  yamaha world supersport  report
8       9   great britain                     donington park       28 june   cal crutchlow   cal crutchlow   cal crutchlow  yamaha world supersport  report
9      10  czech republic                    masaryk circuit       26 july   cal crutchlow   cal crutchlow    fabien foret  yamaha world supersport  report
10     11         germany                        nürburgring   6 september   cal crutchlow   cal crutchlow   cal crutchlow  yamaha world supersport  report
11     12           italy      autodromo enzo e dino ferrari  27 september   cal crutchlow   cal crutchlow  kenan sofuoğlu           ten kate honda  report
12     13          france    circuit de nevers magny - cours     4 october   cal crutchlow   cal crutchlow    joan lascorz          provec kawasaki  report
