   week           partner             style                 choreographer (s)       results
0     1     jessi peralta      smooth waltz                     tony meredith          safe
1     2     jessi peralta              jazz                       tyce diorio  bottom three
2     3     jessi peralta           cha cha     tony meredith melanie lapatin          safe
3     4  sara von gillern  west coast swing  benji schwimmer heidi groskreutz          safe
4     5  sara von gillern              jazz                       mandy moore          safe
5     6   lauren gottlieb         hip - hop                      shane sparks          safe
6     7     sabra johnson          broadway                       tyce diorio          safe
7     7     sabra johnson         quickstep     tony meredith melanie lapatin          safe
8     8   lacey schwimmer         hip - hop                        dave scott       top six
9     8   lacey schwimmer      smooth waltz                    hunter johnson       top six
