    rank         nation  gold  silver  bronze  total
0      1          japan     4       1       1      6
1      2    south korea     2       2       0      4
2      3   soviet union     1       0       5      6
3      4        austria     1       0       0      1
4      5        germany     0       1       2      3
5      6       bulgaria     0       1       1      2
6      7          egypt     0       1       0      1
7      7  united states     0       1       0      1
8      7   east germany     0       1       0      1
9     10  great britain     0       0       2      2
10    11         poland     0       0       1      1
11    11         france     0       0       1      1
12    11        belgium     0       0       1      1
13    11        hungary     0       0       1      1
14    11    netherlands     0       0       1      1
