     region                          host                                                  venue             city           state
0      east          villanova university                                           the pavilion        villanova    pennsylvania
1      east      saint john 's university                               alumni hall (carnesecca)           queens        new york
2      east            rutgers university                            louis brown athletic center       piscataway      new jersey
3      east        university of virginia               university hall (university of virginia)  charlottesville        virginia
4      east       university of tennessee                                stokely athletic center        knoxville       tennessee
5      east      james madison university            james madison university convocation center     harrisonburg        virginia
6   mideast    saint joseph 's university                             alumni memorial fieldhouse     philadelphia    pennsylvania
7   mideast           la salle university                           hayman hall (tom gola arena)     philadelphia    pennsylvania
8   mideast        university of maryland                                       cole field house     college park        maryland
9   mideast         ohio state university                                          st john arena         columbus            ohio
10  mideast             auburn university  memorial coliseum (beard - eaves - memorial coliseum)           auburn         alabama
11  mideast         university of georgia                   georgia coliseum (stegeman coliseum)           athens         georgia
12  midwest  university of south carolina                                      carolina coliseum         columbia  south carolina
13  midwest          university of kansas                                      allen field house         lawrence          kansas
14  midwest         university of montana                                         dahlberg arena         missoula         montana
15  midwest           university of texas                                     frank erwin center           austin           texas
16  midwest     university of mississippi                                     tad smith coliseum       university     mississippi
17  midwest     louisiana tech university                                 thomas assembly center           ruston       louisiana
18     west   stephen f austin university                             william r johnson coliseum      nacogdoches           texas
19     west   eastern illinois university                                            lantz arena       charleston        illinois
20     west            university of iowa                                 carver - hawkeye arena        iowa city         indiana
21     west      university of washington                                 hec edmundson pavilion          seattle      washington
22     west              long beach state                             university gym (gold mine)       long beach      california
