    year  class    team  points  rank  wins
0   1972  125cc  yamaha      12  15th     0
1   1972  250cc  yamaha       8  20th     0
2   1972  350cc  yamaha       0     -     0
3   1972  500cc  yamaha       5  29th     0
4   1973  125cc  yamaha       0     -     0
5   1973  250cc  yamaha      15  16th     1
6   1973  350cc  yamaha       0     -     0
7   1973  500cc  yamaha       0     -     0
8   1974  250cc  yamaha      15  12th     1
9   1974  350cc  yamaha       0     -     0
10  1974  500cc  yamaha      18  10th     0
11  1975  250cc  yamaha       0     -     0
12  1975  350cc  yamaha      15  14th     1
13  1975  500cc  yamaha       4  28th     0
14  1976  250cc  yamaha       0     -     0
15  1976  350cc  yamaha       0     -     0
16  1976  500cc  yamaha       0     -     0
17  1980  250cc  yamaha       2  30th     0
18  1981  350cc  yamaha       6  20th     0
