   place                 team  played  draw  lost  goals scored  goals conceded  points
0      1          árabe unido      18     4     2            32              14      40
1      2                tauro      18     3     4            36              11      36
2      3        san francisco      18     2     5            38              17      35
3      4         el chorrillo      18     2     5            32              19      35
4      5         plaza amador      17     5     4            34              18      29
5      6              alianza      18     1     8            28              29      28
6      7          colón river      18     3    10            21              39      18
7      8       sporting coclé      18     3    11            21              35      15
8      9  atlético veragüense      17     3    11            15              36      12
9     10        pan de azúcar      18     4    14            12              51       4
