    tie no            home team  score            away team              date
0        1              walsall  1 - 1              watford  21 february 1987
1   replay              watford  4 - 4              walsall  24 february 1987
2   replay              walsall  0 - 1              watford      2 march 1987
3        2  sheffield wednesday  1 - 1      west ham united  21 february 1987
4   replay      west ham united  0 - 2  sheffield wednesday  25 february 1987
5        3    tottenham hotspur  1 - 0     newcastle united  21 february 1987
6        4            wimbledon  3 - 1              everton  22 february 1987
7        5              arsenal  2 - 0             barnsley  21 february 1987
8        6         leeds united  2 - 1  queens park rangers  21 february 1987
9        7           stoke city  0 - 1        coventry city  21 february 1987
10       8       wigan athletic  3 - 0            hull city  21 february 1987
