                     driver         constructor  laps      time / retired  grid
0      giancarlo fisichella       jordan - ford    54           1:31:18.2     8
1            kimi räikkönen  mclaren - mercedes    54             + 0.945     4
2           fernando alonso             renault    54  + 6.348 / accident    10
3           david coulthard  mclaren - mercedes    54             + 8.096     2
4   heinz - harald frentzen   sauber - petronas    54             + 8.642    14
5        jacques villeneuve         bar - honda    54            + 16.054    13
6           ralf schumacher      williams - bmw    54            + 38.526     6
7              jarno trulli             renault    54            + 45.927     5
8               mark webber   jaguar - cosworth    53  + 1 lap / accident     3
9        cristiano da matta              toyota    53             + 1 lap    18
10       rubens barrichello             ferrari    47         fuel system     1
11            jenson button         bar - honda    33            accident    11
12           jos verstappen  minardi - cosworth    31                spin    19
13       michael schumacher             ferrari    27            accident     7
14       juan pablo montoya      williams - bmw    25            accident     9
15         antônio pizzonia   jaguar - cosworth    25            accident    17
16            olivier panis              toyota    18           collision    15
17             ralph firman       jordan - ford    18          suspension    16
18            justin wilson  minardi - cosworth    16                spin    20
19            nick heidfeld   sauber - petronas     8              engine    12
