     rank          nation  gold  silver  bronze  total
0       1          russia     5       1       3      9
1       2           japan     4       1       1      6
2       3        bulgaria     2       2       1      5
3       3           china     2       2       1      5
4       5          turkey     2       0       2      4
5       6            cuba     1       3       2      6
6       7         georgia     1       1       1      3
7       7            iran     1       1       1      3
8       9   united states     1       0       6      7
9      10         belarus     1       0       2      3
10     11      uzbekistan     1       0       0      1
11     12         hungary     0       4       3      7
12     13     south korea     0       2       0      2
13     14         ukraine     0       1       3      4
14     15          canada     0       1       2      3
15     16         denmark     0       1       0      1
16     16          france     0       1       0      1
17     18         germany     0       0       2      2
18     18      kazakhstan     0       0       2      2
19     18        mongolia     0       0       2      2
20     18     north korea     0       0       2      2
21     22         armenia     0       0       1      1
22     22  czech republic     0       0       1      1
23     22         finland     0       0       1      1
24     22      kyrgyzstan     0       0       1      1
25     22          norway     0       0       1      1
26     22         romania     0       0       1      1
27  total           total    21      21      42     84
