    pick              player            position     nationality             nhl team          college / junior / club team
0    157        matt o'dette             defence          canada     florida panthers               kitchener rangers (ohl)
1    158       rocky welsing             defence   united states        anaheim ducks             wisconsin capitols (ushl)
2    159        doug sproule           left wing   united states      ottawa senators  hotchkiss academy (hs - connecticut)
3    160      curtis sheptak             defence          canada      edmonton oilers                  olds grizzlys (ajhl)
4    161         serge aubin  centre / left wing          canada  pittsburgh penguins                 granby bisons (qmjhl)
5    162     dimitrius sulba          right wing          russia      edmonton oilers              tivali minsk ( belarus )
6    163           luc gagne          right wing          canada    los angeles kings                  sudbury wolves (ohl)
7    164       chris maillet             defence          canada  tampa bay lightning                 red deer rebels (whl)
8    165      calvin elfring             defence          canada     quebec nordiques      powell river paper kings (bcjhl)
9    166        colin forbes           left wing          canada  philadelphia flyers            portland winterhawks (whl)
10   167    sergei gorbachev          right wing          russia      san jose sharks                dynamo moscow (russia)
11   168       steve plouffe          goaltender          canada       buffalo sabres                 granby bisons (qmjhl)
12   169      yuri kuznetsov              centre          russia    vancouver canucks                omsk avangard (russia)
13   170     tyler prosofsky          right wing          canada   chicago blackhawks                  tacoma rockets (whl)
14   171            dan reja           left wing          canada  washington capitals                  london knights (ohl)
15   172         roman vopat              centre  czech republic       st louis blues         hc litvã­nov (czech republic)
16   173         shane hnidy             defence          canada       buffalo sabres           prince albert raiders (whl)
17   174     jesse rezansoff          right wing          canada   montreal canadiens                     regina pats (whl)
18   175       ladislav kohn          right wing  czech republic       calgary flames           swift current broncos (whl)
19   176          steve webb          right wing          canada       buffalo sabres              peterborough petes (ohl)
20   177     jeremy schaefer           left wing          canada        boston bruins             medicine hat tigers (whl)
21   178      tommi rajamaki             defence         finland  toronto maple leafs                       assat (finland)
22   179  chris wickenheiser          goaltender          canada      edmonton oilers                 red deer rebels (whl)
23   180         drew palmer             defence   united states  pittsburgh penguins            seattle thunderbirds (whl)
24   181       jeff williams           left wing          canada    new jersey devils                    guelph storm (ohl)
25   182    olexei lazarenko          right wing         ukraine           ny rangers                  cska moscow (russia)
