     rank          nation  gold  silver  bronze  total
0       1    soviet union     7       2       6     15
1       2         hungary     4       5       2     11
2       3         romania     2       2       5      9
3       4    west germany     2       2       1      5
4       5    east germany     1       1       2      4
5       6          sweden     1       1       0      2
6       7        bulgaria     0       0       2      2
7       8          poland     1       0       0      1
8       9         austria     0       1       0      1
9      10         belgium     0       1       0      1
10     11  czechoslovakia     0       1       0      1
11     12     netherlands     0       1       0      1
12     13          norway     0       1       0      1
13  total           total    18      18      18     54
