             date                                      series                            circuit                   city / state                     winner                           team
0       4 - 6 mar                  qantas v8 supercars gp 100         albert park street circuit           melbourne , victoria                mark skaife             holden racing team
1     17 - 20 mar                                 hvs round 1            adelaide street circuit     adelaide , south australia                 dean canto            dick johnson racing
2     17 - 20 mar                     clipsal 500 vcs round 1            adelaide street circuit     adelaide , south australia             marcos ambrose          stone brothers racing
3   15 - 17 april    placemakers v8 international vcs round 2              pukekohe park raceway         pukekohe , new zealand                greg murphy               paul weel racing
4       6 - 8 may                          vb 400 vcs round 3                 barbagallo raceway      perth , western australia            steven richards         castrol perkins racing
5          15 may                                 hvs round 2                     wakefield park     goulburn , new south wales                adam macrow                  howard racing
6     27 - 29 may                                 vcs round 4              eastern creek raceway       sydney , new south wales              craig lowndes  triple eight race engineering
7     10 - 12 jun                                 vcs round 5     shanghai international circuit               shanghai , china                 todd kelly             holden racing team
8       1 - 3 jul            skycity triple crown vcs round 6              hidden valley raceway    darwin , northern territory                 todd kelly             holden racing team
9          10 jul                                 hvs round 3              eastern creek raceway       sydney , new south wales                 dean canto            dick johnson racing
10    22 - 24 jul                                 hvs round 4                 queensland raceway           ipswich , queensland                 dean canto            dick johnson racing
11    22 - 24 jul                                 vcs round 7                 queensland raceway           ipswich , queensland              craig lowndes  triple eight race engineering
12    14 - 15 aug                                 vcs round 8                  oran park raceway       sydney , new south wales             russell ingall          stone brothers racing
13         21 aug                                 hvs round 5           mallala motor sport park      mallala , south australia                 dean canto            dick johnson racing
14     9 - 11 sep            betta electrical 500 vcs round 9                    sandown raceway           melbourne , victoria  craig lowndes yvan muller  triple eight race engineering
15      6 - 9 oct                                 hvs round 6             mount panorama circuit     bathurst , new south wales                 dean canto            dick johnson racing
16      6 - 9 oct           supercheap auto 1000 vcs round 10             mount panorama circuit     bathurst , new south wales     mark skaife todd kelly             holden racing team
17    20 - 23 oct  gilette v8 supercar challenge vcs round 11    surfers paradise street circuit  surfers paradise , queensland              craig lowndes  triple eight race engineering
18    12 - 13 nov        ferodo triple challenge vcs round 12             symmons plains raceway          launceston , tasmania               garth tander                hsv dealer team
19    25 - 27 nov                                 hvs round 7  phillip island grand prix circuit      phillip island , victoria                adam macrow                  howard racing
20    25 - 27 nov           bigpond grand finale vcs round 13  phillip island grand prix circuit      phillip island , victoria             marcos ambrose          stone brothers racing
