    round  choice  overall                     player name                        position                         college
0       1       3        3                     jim dunaway                defensive tackle                     mississippi
1       2       2       16                      bobby bell                defensive tackle                       minnesota
2       3       3       31                       ray poage                    running back                           texas
3       4       2       44                    paul flatley                   wide receiver                    northwestern
4       5       3       59                 gary kaltenbach                offensive tackle                      pittsburgh
5       6       2       72  traded to the cleveland browns  traded to the cleveland browns  traded to the cleveland browns
6       7       3       87   traded to the new york giants   traded to the new york giants   traded to the new york giants
7       8       2      100                   jim o'mahoney                      linebacker               miami ( florida )
8       9       3      115                      bob hoover                    running back                         florida
9      10       2      128                    terry kosens                    running back                         hofstra
10     11       3      143                   john campbell                      linebacker                       minnesota
11     12       2      156                    john sklopan                    running back            southern mississippi
12     13       3      171                    dave o'brien                offensive tackle                  boston college
13     14       2      184                   ralph ferrisi                    running back      southern connecticut state
14     15       3      199                      john murio                             end                       whitworth
15     16       2      212                      rex mirich                offensive tackle                northern arizona
16     17       3      227                      tom munsey                    running back                         concord
17     18       2      240                    tom mcintyre                offensive tackle        st john 's ( minnesota )
18     19       3      255                   frank horvath                    running back                youngstown state
