                fighter  fights of the night  knockouts of the night  submissions of the night  awards total        status
0            joe lauzon                    5                       1                         6            12        active
1        anderson silva                    3                       7                         2            12        active
2           chris lytle                    6                       1                         3            10       retired
3             nate diaz                    5                       0                         5            10        active
4         frankie edgar                    7                       1                         0             8        active
5            clay guida                    5                       0                         3             8        active
6             sam stout                    6                       1                         0             7        active
7       wanderlei silva                    5                       2                         0             7        active
8         diego sanchez                    6                       0                         0             6        active
9       forrest griffin                    5                       0                         1             6       retired
10        tyson griffin                    5                       0                         1             6  left the ufc
11        carlos condit                    4                       2                         0             6        active
12           tito ortiz                    4                       1                         1             6  left the ufc
13        joe stevenson                    4                       0                         2             6  left the ufc
14       donald cerrone                    3                       2                         1             6        active
15            jon jones                    3                       1                         2             6        active
16           jim miller                    3                       0                         3             6        active
17          chris leben                    2                       4                         0             6        active
18         brad pickett                    4                       1                         0             5        active
19           matt wiman                    4                       0                         1             5        active
20      quinton jackson                    3                       2                         0             5  left the ufc
21         marcus davis                    3                       1                         1             5  left the ufc
22  georges st - pierre                    3                       1                         1             5        active
23        kenny florian                    3                       0                         2             5       retired
24        josh koscheck                    2                       2                         1             5        active
25      melvin guillard                    2                       3                         0             5        active
26         dennis siver                    2                       2                         1             5        active
27      martin kampmann                    2                       2                         1             5        active
28              bj penn                    2                       1                         2             5        active
29            ed herman                    2                       1                         2             5        active
30           roy nelson                    1                       4                         0             5        active
31        lyoto machida                    1                       4                         0             5        active
32        stefan struve                    1                       1                         3             5        active
