    no                                        driver              entrant    constructor             chassis         engine
0    1                                        b bira              private       maserati  maserati 4clt / 48   maserati l4s
1    2                       emmanuel de graffenried              private       maserati  maserati 4clt / 48   maserati l4s
2    3                                     tony rolt              private     alfa romeo        alfa romeo b  alfa romeo l8
3    4                   raymond mays ken richardson         t vandervell        ferrari         ferrari 125   ferrari v12s
4    5                                    bob ansell              private       maserati       maserati 4 cm   maserati l4s
5    6             geoff ansell brian shawe - taylor              private            era               era b        era l6s
6    7                                    bob gerard    bob gerard racing            era               era b        era l6s
7    8                  david hampshire billy cotton              private            era               era b        era l6s
8    9                                  david murray              private       maserati        maserati 4cl   maserati l4s
9   10                                   reg parnell  scuderia ambrosiana       maserati  maserati 4clt / 48   maserati l4s
10  11                                  fred ashmore  scuderia ambrosiana       maserati  maserati 4clt / 48   maserati l4s
11  12                               luigi villoresi  scuderia ambrosiana       maserati  maserati 4clt / 48   maserati l4s
12  15                                  louis chiron  sfacs ecurie france  talbot - lago  talbot - lago t26c      talbot l6
13  16                                  louis rosier              private  talbot - lago  talbot - lago t26c      talbot l6
14  17                       yves giraud - cabantous              private  talbot - lago  talbot - lago t26c      talbot l6
15  18                              george abecassis              private           alta             alta gp       alta l4s
16  19                                  johnny claes         ecurie belge  talbot - lago  talbot - lago t26c      talbot l6
17  20                                  george nixon              private            era               era a        era l6s
18  21                peter whitehead dudley folland     scuderia ferrari        ferrari         ferrari 125   ferrari v12s
19  22  duncan hamilton philip fotheringham - parker              private       maserati       maserati 6 cm   maserati l6s
20  24                           philippe ã‰tancelin              private  talbot - lago  talbot - lago t26c      talbot l6
21  25                                 roy salvadori              private       maserati        maserati 4cl   maserati l4s
22  26                                anthony baring              private       maserati       maserati 4 cm    maserati l4
23  27                                  john bolster              ph bell            era               era b        era l6s
24  28                                  peter walker         pn whitehead            era               era b        era l6s
