    district          incumbent       party  first elected        result                                        candidates
0    texas 1      wright patman  democratic           1928  re - elected     wright patman (d) 78.5% james hogan (r) 21.5%
1    texas 2         john dowdy  democratic           1952  re - elected                          john dowdy (d) unopposed
2    texas 3    james m collins  republican           1968  re - elected     james m collins (r) 60.6% john mead (d) 39.4%
3    texas 4        ray roberts  democratic           1962  re - elected                         ray roberts (d) unopposed
4    texas 5       earle cabell  democratic           1964  re - elected    earle cabell (d) 59.7% frank crowley (r) 40.3%
5    texas 6      olin e teague  democratic           1946  re - elected                       olin e teague (d) unopposed
6    texas 8  robert c eckhardt  democratic           1966  re - elected                   robert c eckhardt (d) unopposed
7    texas 9        jack brooks  democratic           1952  re - elected  jack brooks (d) 64.5% henry c pressler (d) 35.5%
8   texas 10         j j pickle  democratic           1963  re - elected                          j j pickle (d) unopposed
9   texas 11    william r poage  democratic           1936  re - elected                     william r poage (d) unopposed
10  texas 12         jim wright  democratic           1954  re - elected                          jim wright (d) unopposed
11  texas 14  john andrew young  democratic           1956  re - elected                   john andrew young (d) unopposed
12  texas 17      omar burleson  democratic           1946  re - elected                       omar burleson (d) unopposed
13  texas 18          bob price  republican           1966  re - elected                           bob price (r) unopposed
14  texas 19     george h mahon  democratic           1934  re - elected                      george h mahon (d) unopposed
15  texas 20   henry b gonzalez  democratic           1961  re - elected                    henry b gonzalez (d) unopposed
16  texas 21         o c fisher  democratic           1942  re - elected       o c fisher (d) 61.4% richard gill (r) 38.6%
17  texas 22     robert r casey  democratic           1958  re - elected   robert r casey (d) 55.6% arthur busch (r) 44.4%
