           country  1997  1998  1999  2000  2001  2002  2003  2004  2005  2006  2007  2008  2009  2010  2011  2012  total
0          austria     0     0     0     1     1     1     0     0     0     1     2     0     1     0     0     0      7
1          belgium     1     1     0     0     1     3     1     1     2     1     1     0     0     0     0     0     12
2         bulgaria     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     1      2
3   czech republic     0     0     0     0     0     0     0     1     2     0     0     0     2     1     1     0      7
4          denmark     1     0     1     0     0     1     0     0     0     0     0     0     0     0     0     0      3
5          estonia     0     0     0     0     0     0     0     0     0     0     0     1     1     0     1     0      3
6          finland     1     1     0     1     1     1     1     0     3     2     1     1     1     0     1     0     15
7           france     2     2     2     2     1     3     4     7     5     5     2     2     5     2     0     0     44
8          germany     0     0     2     2     0     1     4     0     1     1     2     1     0     0     3     0     17
9           greece     1     1     0     1     1     1     0     0     0     0     1     0     0     1     2     0      9
10         hungary     0     0     0     0     0     0     0     0     1     1     1     1     1     0     1     2      8
11         ireland     2     1     1     0     0     0     0     0     0     0     1     0     0     0     0     0      5
12           italy     1     1     0     2     3     1     3     2     2     7     9    10    10     8     3     1     63
13          latvia     0     0     0     0     0     0     0     0     1     0     0     0     0     0     1     0      2
14       lithuania     0     0     0     0     0     0     0     2     1     2     1     0     2     1     2     2     13
15           malta     0     0     0     0     0     0     0     0     1     0     0     0     0     1     0     0      2
16     netherlands     1     2     1     3     0     0     0     0     0     1     1     0     0     0     1     0     10
17          poland     0     0     0     0     0     0     0     3     3     4     6     8    10     3     5     8     50
18        portugal     1     1     0     0     0     1     1     1     1     3     1     0     0     2     0     1     13
19         romania     0     0     0     0     0     0     0     0     0     0     0     0     3     2     4     2     11
20        slovakia     0     0     0     0     0     0     0     1     0     3     2     0     0     0     0     1      7
21        slovenia     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     1      2
22           spain     1     2     2     2     2     2    10     5     8     6     7    10    10     3     2     1     73
23          sweden     1     1     1     2     2     2     2     1     0     0     0     0     0     0     0     0     12
24  united kingdom     1     2     0     0     0     0     0     0     0     3     1     1     0     4     3     0     15
25           total    14    15    10    16    12    17    26    24    31    40    40    35    46    29    30    20    405
