                         club  champions  runners - up  3rd - place  4th - place
0              home united fc          5             3            3            1
1   singapore armed forces fc          4             4            1            0
2           geylang united fc          2             1            1            3
3                   sinchi fc          1             1            0            0
4    singapore nfa under - 18          1             1            2            1
5         balestier khalsa fc          1             1            1            2
6          tampines rovers fc          0             2            1            3
7            gombak united fc          0             1            2            0
8     woodlands wellington fc          0             0            2            1
9     tanjong pagar united fc          0             0            0            1
10                  jurong fc          0             0            0            1
