     rank          nation  gold  silver  bronze  total
0       1        scotland     9       2       2     13
1       2          canada     8       8       7     23
2       3          sweden     3       7       5     15
3       4     switzerland     2       2       4      8
4       5          russia     2       0       2      4
5       6   united states     1       3       3      7
6       7          norway     1       1       0      2
7       8           japan     0       2       1      3
8       9  czech republic     0       1       0      1
9      10         denmark     0       0       5      5
10     11           italy     0       0       1      1
11  total           total    26      26      30     82
