    pick                 player    position    nationality                             nhl team      college / junior / club team
0     53              eric naud   left wing         canada          boston bruins (from ottawa)   saint - hyacinthe laser (qmjhl)
1     54        francois methot      centre         canada        buffalo sabres (compensatory)   saint - hyacinthe laser (qmjhl)
2     55          terry friesen  goaltender         canada                      san jose sharks       swift current broncos (whl)
3     56            zdeno chara     defence       slovakia                   new york islanders       hc dukla trenčín (slovakia)
4     57          greg phillips      centre         canada                    los angeles kings            saskatoon blades (whl)
5     58         sergei zimakov     defence         russia    washington capitals (from dallas)       phc krylya sovetov (russia)
6     59               tom poti     defence  united states                      edmonton oilers       cushing academy (ushs - ma)
7     60            chris allen     defence         canada      florida panthers (from buffalo)         kingston frontenacs (ohl)
8     61        andrei petrunin  right wing         russia                     hartford whalers           hc cska moscow (russia)
9     62  per - anton lundstrom     defence         sweden         winnipeg jets (from anaheim)                     modo (sweden)
10    63           scott parker  right wing  united states                    new jersey devils             kelowna rockets (whl)
11    64        chester gallant  right wing         canada  philadelphia flyers (from winnipeg)     niagara - falls thunder (ohl)
12    65            oleg kvasha      centre         russia    florida panthers (from vancouver)              cska moscow (russia)
13    66         mike lankshear     defence         canada   toronto maple leafs (from calgary)                guelph storm (ohl)
14    67           gordie dwyer   left wing         canada                       st louis blues         beauport harfangs (qmjhl)
15    68    konstantin kalmikov   left wing        ukraine                  toronto maple leafs          detroit falcons ( cohl )
16    69          curtis tipler  right wing         canada                  tampa bay lightning               regina pats ( whl )
17    70                jon sim   left wing         canada       dallas stars (from washington)                sarnia sting (ohl)
18    71            arron asham  right wing         canada                   montreal canadiens             red deer rebels (whl)
19    72              boyd kane   left wing         canada    pittsburgh penguins (from boston)                 regina pats (whl)
20    73       dmitri vlasenkov   left wing         russia        calgary flames (from florida)        torpedo yaroslavl (russia)
21    74         david weninger  goaltender         canada   washington capitals (from chicago)            michigan tech ( ncaa )
22    75      zenith komarniski     defence         canada     vancouver canucks (compensatory)        tri - city americans (whl)
23    76        dmitri subbotin   left wing         russia                     new york rangers              cska moscow (russia)
24    77        borys protsenko  right wing        ukraine                  pittsburgh penguins              calgary hitmen (whl)
25    79           mark parrish  right wing  united states                   colorado avalanche  st cloud state university (ncaa)
