           country  total  marathon (men 's)  marathon (women 's)  half marathon (men 's)  half marathon (women 's)
0           latvia     27                 10                    8                       4                         5
1            kenya      7                  5                    0                       1                         1
2        lithuania      7                  3                    3                       1                         0
3          belarus      6                  2                    4                       0                         0
4           russia      5                  1                    2                       1                         1
5          estonia      4                  0                    3                       1                         0
6         ethiopia      2                  0                    2                       0                         0
7          morocco      1                  1                    0                       0                         0
8       kazakhstan      1                  1                    0                       0                         0
9          moldova      1                  0                    1                       0                         0
10  united kingdom      1                  0                    0                       0                         1
