   class   introduced  number in class  number in service  power output (kw)
0    dbr         1980               10                  7                709
1     dc  1978 - 1981               85                 69               1230
2    dft  1979 - 1981               30                 29               1800
3     dh         1979                6                  6                672
4     dl       2010 -               48                 40               2700
5    dsc  1959 - 1967               70                 44                315
6    dsg         1981               24                 24                700
7    dsj         1982                5                  5                350
8     dx  1972 - 1975               49                 46               2240
9    dxr         1993                2                  2               2420
10    ef  1988 - 1989               22                 17               3000
11    tr  1936 - 1978               90                 21                138
