    rank         nation  gold  silver  bronze  total
0      1         russia    16      12       5     33
1      2          japan     6       2       3     11
2      2         canada     4       1       6     11
3      3          china     3       3       4     10
4      4        ukraine     1       6       1      8
5      5        germany     1       0       3      4
6      5         france     0       1       3      4
7      6        belgium     1       1       1      3
8      7    switzerland     0       2       0      2
9      7        finland     0       1       1      2
10     7        hungary     0       1       1      2
11     7          italy     0       1       1      2
12     7  united states     0       1       1      2
13    14         poland     0       0       1      1
