    draw    language                 artist               english translation  place  points
0      1      polish                justyna                             alone     18      15
1      2     english            eddie friel                                 -     14      44
2      3      german          stone & stone                  in love with you     23       1
3      4     bosnian        davorin popović                  the 21st century     19      14
4      5   norwegian          secret garden                                 -      1     148
5      6     russian       philipp kirkorov             lullaby for a volcano     17      17
6      7   icelandic         bo halldórsson                               now     15      31
7      8      german           stella jones     the world turns the wrong way     13      67
8      9     spanish           anabel conde                   come back to me      2     119
9     10     turkish               arzu ece                              love     16      21
10    11    croatian       magazin & lidija                         nostalgia      6      91
11    12      french    nathalie santamaria           he makes a date with me      4      94
12    13   hungarian          csaba szigeti  a new name on the old house wall     22       3
13    14      french    frédéric etherlinck                 the voice is free     20       8
14    15     english       love city groove                                 -     10      76
15    16  portuguese                tó cruz             vanilla and chocolate     21       5
16    17       greek      alexandros panayi                       in the fire      9      79
17    18     swedish           jan johansen                        look at me      3     100
18    19      danish             aud wilken               from mols to skagen      5      92
19    20     slovene          darja švajger                      listen to me      7      84
20    21      hebrew                  liora                                 -      8      81
21    22     english           mike spiteri                                 -     10      76
22    23       greek  elina konstantopoulou                      which prayer     12      68
