                  driver        constructor  laps  time / retired  grid
0     emerson fittipaldi     mclaren - ford    53      1:39:26.29     5
1             james hunt     hesketh - ford    53          + 5.91     6
2       carlos reutemann     brabham - ford    53         + 17.06     3
3         clay regazzoni            ferrari    53         + 35.79     7
4      patrick depailler     tyrrell - ford    53         + 54.25     8
5             niki lauda            ferrari    53       + 1:19.65     4
6           mark donohue      penske - ford    52         + 1 lap    16
7             jacky ickx       lotus - ford    52         + 1 lap    18
8     vittorio brambilla       march - ford    52         + 1 lap    12
9            graham hill        lola - ford    52         + 1 lap    21
10        jody scheckter     tyrrell - ford    52         + 1 lap     9
11             tom pryce      shadow - ford    51    transmission    14
12        rolf stommelen        lola - ford    51        + 2 laps    19
13           jochen mass     mclaren - ford    50        + 3 laps    13
14           carlos pace     brabham - ford    46          engine     2
15       arturo merzario    williams - ford    44  not classified    20
16        mario andretti    parnelli - ford    27    transmission    10
17            mike wilds                brm    24          engine    22
18       ronnie peterson       lotus - ford    15          engine    11
19       jacques laffite    williams - ford    15         gearbox    17
20     wilson fittipaldi  fittipaldi - ford    12        accident    23
21           john watson     surtees - ford     6    disqualified    15
22  jean - pierre jarier      shadow - ford     0    transmission     1
