              player  matches  innings  runs  average  highest score  100s  50s
0    lionel palairet       10       19   560    31.11            100     1    5
1       john challen        9       16   354    25.28             89     0    2
2   richard palairet       10       17   266    19.00             74     0    1
3      herbie hewett       12       22   388    18.47             65     0    2
4        sammy woods       11       19   330    18.33             50     0    1
5           bill roe        7       12   168    15.27             36     0    0
6  crescens robinson       11       17   196    14.00             55     0    1
7        vernon hill        9       15   184    12.26             31     0    0
8     george nichols       12       21   216    10.28             37     0    0
9          ted tyler       12       20   168     9.88             62     0    1
