    draw    language              artist  place  points
0      1       dutch   conny van den bos     11       5
1      2     english         kathy kirby      2      26
2      3     spanish   conchita bautista     15       0
3      4     english         butch moore      6      11
4      5      german        ulla wiesner     15       0
5      6      german         udo jürgens      4      16
6      7   norwegian      kirsti sparboe     13       1
7      8       dutch          lize marke     15       0
8      9      french       marjorie noël      9       7
9     10     english       ingvar wixell     10       6
10    11      french          guy mardel      3      22
11    12  portuguese  simone de oliveira     13       1
12    13     italian          bobby solo      5      15
13    14      danish        birgit brüel      7      10
14    15      french         france gall      1      32
15    16     finnish     viktor klimenko     15       0
16    17    croatian          vice vukov     12       2
17    18      french             yovanna      8       8
