    year                             author      illustrator                                               title     publisher
0   1982  angela carter (ed and translator)  michael foreman     sleeping beauty and other favourite fairy tales    v gollancz
1   1983                     anthony browne           browne                                             gorilla  julia macrae
2   1984                    john burningham       burningham                                              granpa        j cape
3   1985                  ted hughes (1968)  andrew davidson                                        the iron man         faber
4   1986                      allan ahlberg    janet ahlberg                                   the jolly postman     heinemann
5   1987                    charles causley  charles keeping                              jack the treacle eater     macmillan
6   1988               lewis carroll (1865)   anthony browne                   alice 's adventures in wonderland  julia macrae
7   1989                     martin waddell    barbara firth                                the park in the dark        walker
8   1990                      quentin blake            blake                                         all join in        j cape
9   1991                   colin mcnaughton       mcnaughton  have you seen who 's just moved in next door to us        walker
10  1992                     raymond briggs           briggs                                             the man  julia macrae
11  1993                      karen wallace     mike bostock                                     think of an eel        walker
12  1994                        trish cooke   helen oxenbury                                             so much        walker
13  1995                    kathy henderson   patrick benson                                     the little boat        walker
14  1996                       babette cole             cole                                           drop dead        j cape
15  1997                      william mayne   jonathan heale                                           lady muck     heinemann
16  1998                     anthony browne           browne                                  voices in the park     doubleday
17  1999               lewis carroll (1865)   helen oxenbury                   alice 's adventures in wonderland        walker
