    rank       nation  gold  silver  bronze  total
0      1  south korea     5       3       6     14
1      2        japan     4       2       9     15
2      3   kazakhstan     3       2       4      9
3      4        china     3       2       2      7
4      5   uzbekistan     1       1       4      6
5      6     mongolia     0       3       1      4
6      7  north korea     0       2       3      5
7      8         iran     0       1       2      3
8      9    indonesia     0       0       1      1
9  total        total    16      16      32     64
