                           tournament                               2001                               2002                               2003                               2004                               2005                               2006                               2007                               2008                               2009                               2010                               2011                               2012
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                  a                                 2r                                 1r                                  a                                  a                                  a                                  a                                  a                                 qf                                 3r                                 2r                                  a
2                         french open                                 1r                                 2r                                 1r                                  a                                  a                                  a                                 3r                                 qf                                 1r                                 sf                                 3r                                 sf
3                           wimbledon                                 1r                                  a                                  a                                  a                                  a                                 3r                                 2r                                 qf                                 qf                                  a                                 2r                                 qf
4                             us open                                 1r                                  a                                  a                                  a                                  a                                 2r                                  a                                 2r                                 qf                                 1r                                 3r                                 sf
5                          win - loss                              0 - 3                              2 - 2                              0 - 2                              0 - 0                              0 - 0                              3 - 2                              3 - 2                              7 - 3                              9 - 4                              6 - 4                              6 - 4                             11 - 3
6             year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship            year - end championship
7              wta tour championships                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  w                                  a                                  a                                  a
8                       olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games
9                     summer olympics                           not held                           not held                           not held                                  a                           not held                           not held                           not held                                 1r                           not held                           not held                           not held                                 2r
10  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
11                       indian wells                                  a                                 1r                                  a                                  a                                  a                                  a                                  a                                  a                                 sf                                 qf                                 1r                                 2r
12                              miami                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 qf                                 2r                                 sf                                  a
13                             madrid                           not held                           not held                           not held                           not held                           not held                           not held                           not held                           not held                                 qf                                 sf                                 2r                                 sf
14                            beijing                               t iv                               t iv                            tier ii                            tier ii                            tier ii                            tier ii                            tier ii                            tier ii                                 qf                                 qf                                 2r                                 2r
15          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
16                              dubai                            tier ii                            tier ii                            tier ii                            tier ii                            tier ii                            tier ii                            tier ii                            tier ii                                  a                                  w                                  w                            premier
17                               doha                           tier iii                           tier iii                           tier iii                            tier ii                            tier ii                            tier ii                            tier ii                                  a                           not held                           not held                                  p                                 1r
18                               rome                                  a                                 1r                                 1r                                  a                                  a                                  a                                  a                                  a                                 sf                                  f                                 qf                                 1r
19                 montréal / toronto                                  a                                  a                                  a                                  a                                  a                                 1r                                  a                                  a                                  w                                  a                                 1r                                 1r
20                         cincinnati                                 nh                                 nh                                 nh                           tier iii                           tier iii                           tier iii                           tier iii                           tier iii                                  f                                  a                                 1r                                 sf
21                              tokyo                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 1r                                  a                                  a
22                            ranking                                 40                                 79                                112                              n / a                                131                                 62                                108                                 30                                  6                                 15                                 21                                 15
