   round  pick  overall              name       position                 college
0      1     1        1      michael vick    quarterback           virginia tech
1      2     4       35     alge crumpler      tight end          north carolina
2      4     4       99     roberto garza          guard  texas a&m - kingsville
3      4     7      102      matt stewart     linebacker              vanderbilt
4      5     5      136  vinny sutherland  wide receiver                  purdue
5      6     4      167      randy garner  defensive end                arkansas
6      7    15      215        corey hall         safety       appalachian state
7      7    19      219      kynan forney          guard                  hawaii
8      7    26      226    ronald flemons  defensive end               texas a&m
9      7    36      236    quentin mccord  wide receiver                kentucky
