    date                tournament   surface       partnering             opponent in the final                                  score
0   1984         bordeaux , france      clay    loïc courteau    pavel složil blaine willenborg                          1 - 6 , 4 - 6
1   1985             nice , france      clay    loïc courteau      claudio panatta pavel složil                  6 - 3 , 3 - 6 , 6 - 8
2   1986             memphis , usa    carpet    anders järryd           ken flach robert seguso                  4 - 6 , 6 - 4 , 6 - 7
3   1986        itaparica , brazil      hard    loic courteau            chip hooper mike leach                          5 - 7 , 3 - 6
4   1986  masters doubles , london    carpet     yannick noah       stefan edberg anders järryd                  3 - 6 , 6 - 7 , 3 - 6
5   1987       french open , paris      clay     yannick noah       anders järryd robert seguso  7 - 6 , 7 - 6 , 3 - 6 , 4 - 6 , 2 - 6
6   1987      gstaad , switzerland      clay    loic courteau         jan gunnarsson tomáš šmíd                          6 - 7 , 2 - 6
7   1988         toulouse , france  hard (i)  mansour bahrami       tom nijssen ricki osterthun                          3 - 6 , 4 - 6
8   1991        indian wells , usa      hard    henri leconte        jim courier javier sánchez                  6 - 7 , 6 - 3 , 3 - 6
9   1991      gstaad , switzerland      clay     jakob hlasek          gary muller danie visser                          6 - 7 , 4 - 6
10  1992        brussels , belgium    carpet     jakob hlasek         boris becker john mcenroe                          3 - 6 , 2 - 6
11  1992         bordeaux , france      clay   arnaud boetsch       sergio casal emilio sánchez                          1 - 6 , 4 - 6
12  1992         toulouse , france  hard (i)    henri leconte          brad pearce byron talbot                  1 - 6 , 6 - 3 , 3 - 6
13  1995  ostrava , czech republic    carpet   patrick rafter       jonas björkman javier frana                  7 - 6 , 4 - 6 , 6 - 7
14  1996             milan , italy    carpet     jakob hlasek  andrea gaudenzi goran ivanišević                          4 - 6 , 5 - 7
15  1996         hamburg , germany      clay     jakob hlasek        mark knowles daniel nestor                          2 - 6 , 4 - 6
16  1996       french open , paris      clay     jakob hlasek   yevgeny kafelnikov daniel vacek                          2 - 6 , 3 - 6
