    year                     entrant            chassis             engine  points
0   1972            scuderia ferrari      ferrari 312b2  ferrari flat - 12       1
1   1973            scuderia ferrari      ferrari 312b2  ferrari flat - 12       6
2   1973            scuderia ferrari      ferrari 312b3  ferrari flat - 12       6
3   1974  frank williams racing cars  iso - marlboro fw        cosworth v8       4
4   1975  frank williams racing cars      williams fw03        cosworth v8       0
5   1975  frank williams racing cars      williams fw04        cosworth v8       0
6   1975      fittpaldi - copersucar    fittipaldi fd03        cosworth v8       0
7   1976                 ovoro march          march 761        cosworth v8       0
8   1976          walter wolf racing      williams fw05        cosworth v8       0
9   1977               team merzario         march 761b        cosworth v8       0
10  1977               shadow racing         shadow dn8        cosworth v8       0
11  1978               team merzario        merzario a1        cosworth v8       0
12  1979               team merzario       merzario a1b        cosworth v8       0
13  1979               team merzario        merzario a2        cosworth v8       0
14  1979               team merzario        merzario a4        cosworth v8       0
