     rank            nation  gold  silver  bronze  total
0       1           england    11      10      11     32
1       2         australia     9       9       4     22
2       3            canada     6       7       8     21
3       4          scotland     3       1       6     10
4       5           bahamas     2       2       1      5
5       6       new zealand     2       1       3      6
6       7           jamaica     2       1       1      4
7       8             wales     2       1       0      3
8       9          tanzania     1       2       1      4
9      10             kenya     1       1       3      5
10     11           nigeria     1       0       0      1
11     12            uganda     0       2       0      2
12     13  northern ireland     0       1       0      1
13     14           bermuda     0       0       1      1
14  total             total    40      38      39    117
