                         2003 / 04                   2004 / 05                   2007 / 08                   2009 / 10                   2010 / 11                   2011 / 12                   2012 / 13
0   ur he was not on the main tour                          ur                          ur                          ur                          63                          53                          55
1              ranking tournaments         ranking tournaments         ranking tournaments         ranking tournaments         ranking tournaments         ranking tournaments         ranking tournaments
2                         not held                    not held                    not held               non - ranking               non - ranking               non - ranking                          lq
3                         not held                    not held                    not held                    not held                    not held                          lq                          lq
4                         not held                    not held                          lq                          lq                          lq                          lq                          wr
5                         not held                    not held                    not held                    not held                    not held                    not held                          lq
6                                a                           a                          lq                          lq                          lq                          lq                          lq
7                         not held                    not held                    not held                    not held                          lq                          lq                          lq
8                                a                           a                          lq                          lq                          lq                          1r                          lq
9                         not held                    not held                    not held                    not held                         dnq                         dnq                         dnq
10                        not held                           a                          lq                          lq                          lq                          lq                          1r
11                              lq                          lq                          lq                          lq                          1r                          lq                          lq
12       non - ranking tournaments   non - ranking tournaments   non - ranking tournaments   non - ranking tournaments   non - ranking tournaments   non - ranking tournaments   non - ranking tournaments
13                               a                           a                          lq                          lq                           a                           a                           a
14      variant format tournaments  variant format tournaments  variant format tournaments  variant format tournaments  variant format tournaments  variant format tournaments  variant format tournaments
15                        not held                    not held                    not held                    not held                          1r                          1r                          3r
16      former ranking tournaments  former ranking tournaments  former ranking tournaments  former ranking tournaments  former ranking tournaments  former ranking tournaments  former ranking tournaments
17                               a                    not held                    not held                    not held                    not held                    not held                          mr
18                               a                           a                    not held                    not held                    not held                    not held                    not held
19                               a                           a                          nr                    not held                    not held                    not held                    not held
20                        not held                    not held                          lq                    not held                    not held                    not held                    not held
