                           tournament                               1999                               2000                               2001                               2002                               2003                               2004                               2005                               2006                               2007                               2008                               2009                               2010                               2011
0              grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments             grand slam tournaments
1                     australian open                                  a                                  a                                  a                                  a                                 lq                                 lq                                 1r                                 1r                                 3r                                 2r                                 3r                                 4r                                  a
2                         french open                                  a                                  a                                  a                                  a                                 lq                                 lq                                 1r                                 1r                                 2r                                 1r                                 1r                                 3r                                 1r
3                           wimbledon                                  a                                  a                                  a                                  a                                 lq                                 lq                                 3r                                 1r                                 3r                                 2r                                 1r                                 3r                                 1r
4                             us open                                  a                                  a                                  a                                  a                                 lq                                 lq                                 1r                                 2r                                 3r                                 3r                                 2r                                 3r                                 1r
5                          win - loss                              0 - 0                              0 - 0                              0 - 0                              0 - 0                              2 - 4                              4 - 4                              2 - 4                              1 - 4                              7 - 4                              4 - 4                              3 - 4                              9 - 4                              0 - 3
6                       olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games                      olympic games
7                     summer olympics                                 nh                                  a                           not held                           not held                           not held                                  a                           not held                           not held                           not held                                 2r                           not held                           not held                           not held
8   wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
9                        indian wells                                  a                                  a                                  a                                  a                                  a                                  a                                 2r                                 1r                                 3r                                 4r                                 2r                                 2r                                  a
10                       key biscayne                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 3r                                 2r                                 2r                                 2r                                 2r                                  a
11                             madrid                           not held                           not held                           not held                           not held                           not held                           not held                           not held                           not held                           not held                           not held                                 qf                                 3r                                  a
12                            beijing                           not held                           not held                           not held                           not held                           not held                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                 3r                                 2r                                 1r
13          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
14                              dubai                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                 2r                                 1r                                  a
15                               rome                                  a                                  a                                  a                                  a                                  a                                  a                                 2r                                  a                                 3r                                 2r                                 1r                                  a                                  a
16                         cincinnati                           not held                           not held                           not held                           not held                           not held                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                 2r                                 3r                                 2r
17                 montreal / toronto                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 1r                                  a                                 3r                                 3r                                 1r
18                              tokyo                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 3r                                  a
19            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments            wta premier tournaments
20                         charleston                                  a                                  a                                  a                                  a                                  a                                  a                                 lq                                 3r                                  a                                  a                                 3r                                 qf                                  a
21                             moscow                                nti                                  a                                  a                                  a                                  a                                 lq                                 lq                                 lq                                 1r                                 1r                                 sf                                 2r                                 1r
22                               doha                           not held                           not held                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                  a                           not held                           not held                                  a
23                             berlin                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                  a                                 2r                                 qf                           not held                           not held                           not held
24                          san diego                         not tier i                         not tier i                         not tier i                         not tier i                         not tier i                                  a                                 2r                                 2r                                  a                           not held                           not held                                 1r                                  a
25                             zurich                                  a                                  a                                  a                                  a                                  a                                  a                                 1r                                 2r                                 qf                         not tier i                         not tier i                         not tier i                         not tier i
26                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics
27                 tournaments played                                  6                                 10                                  9                                 15                                 30                                 31                                 29                                 29                                 25                                 23                                 27                                 20                                  8
28                    titles - finals                              0 - 0                              0 - 1                              0 - 0                              1 - 2                              1 - 1                              1 - 3                              0 - 1                              2 - 2                              1 - 2                              0 - 0                              0 - 1                              1 - 1                              0 - 0
29                         win - loss                              6 - 7                            17 - 11                             19 - 9                            35 - 14                            26 - 31                            42 - 30                            24 - 30                            42 - 27                            36 - 24                            28 - 23                            33 - 26                            25 - 21                              3 - 8
30                   year end ranking                                652                                493                                376                                191                                190                                126                                 73                                 32                                 22                                 32                                 32                                 36                                253
