    round  overall pick              nfl team            player              position        college
0       1             8      tennessee titans       jake locker           qaurterback     washington
1       1             9        dallas cowboys       tyron smith      offensive tackle            usc
2       1            24    new orleans saints    cameron jordan         defensive end     california
3       2            38      tennessee titans       akeem ayers  offensive linebacker           ucla
4       2            42        houston texans       brooks reed         defensive end        arizona
5       2            45        denver broncos       rahim moore                safety           ucla
6       2            53         chicago bears      stephen paea      defensive tackle   oregon state
7       2            56  new england patriots      shane vereen          running back     california
8       3            77      tennessee titans     jurrell casey      defensive tackle            usc
9       3            84  tampa bay buccaneers      mason foster            linebacker     washington
10      3            89    san diego chargers   shareece wright        defensive back            usc
11      3            93         chicago bears       chris conte        defensive back     california
12      3            97     green bay packers         sione fua      defensive tackle       stanford
13      4           102      cleveland browns    jordan cameron             tight end            usc
14      4           116   philadelphia eagles    casey matthews            linebacker         oregon
15      4           124      cleveland browns      owen marecic               fulback       stanford
16      5           140    kansas city chiefs       gabe miller            linebacker   oregon state
17      5           145       atlanta falcons  jacquizz rodgers          running back   oregon state
18      5           154      seattle seahawks   richard sherman            cornerback       stanford
19      6           167    cincinnati bengals       ryan whalen         wide receiver       stanford
20      6           182   san francisco 49ers    ronald johnson         wide receiver            usc
21      6           184     arizona cardinals      david carter      defensive tackle           ucla
22      6           187  tampa bay buccaneers    allen bradford          running back            usc
23      6           189        denver broncos      mike mohamed            linebacker     california
24      6           197     green bay packers      ricky elmore         defensive end        arizona
25      6           203     carolina panthers  zachary williams                center            usc
26      7           215     minnesota vikings     d'aundre reed         defensive end        arizona
27      7           233     green bay packers      lawrence guy      defensive tackle  arizona state
28      7           240   philadelphia eagles    stanley havili               fulback            usc
29      7           241       oakland raiders    david ausberry         wide receiver            usc
