                                name of award                                 name of film  language                                          awardee (s)          cash prize
0   best feature film on national integration                                  aai kot nai  assamese         producer : rajen bora director : manju borah  1 , 50000 / - each
1            best film on other social issues                                        jogwa   marathi  producer : shripal morakhia director : rajeev patil  1 , 50000 / - each
2                                  best actor                                        jogwa   marathi                                       upendra limaye           50000 / -
3                                best actress                                      fashion     hindi                                      priyanka chopra           50000 / -
4                       best supporting actor                                    rock on!!     hindi                                         arjun rampal           50000 / -
5                     best supporting actress                                      fashion     hindi                                        kangna ranaut           50000 / -
6                           best child artist                                   thanks maa     hindi                                          shams patel           50000 / -
7                   best male playback singer            jogwa (jeev dangla gungla rangla)   marathi                                            hariharan           50000 / -
8                             best screenplay                                       gandha   marathi                                     sachin kundalkar           50000 / -
9                            best audiography                                       gandha   marathi                      pramod j thomas and anmol bhave           50000 / -
10                               best editing                                       firaaq     hindi                                     a sreekar prasad           50000 / -
11                         best art direction                                       firaaq     hindi                                           gautam sen           50000 / -
12                        best costume design                                 jodhaa akbar     hindi                                          neeta lulla           50000 / -
13                      best make - up artist                                 naan kadavul     tamil                                            v moorthy           50000 / -
14                       best music direction                                        jogwa   marathi                                          ajay - atul           50000 / -
15                                best lyrics                       antaheen (pherari mon)   bengali          anindya bannerjee and chandril bhattacharya           50000 / -
16                       best special effects                             mumbai meri jaan     hindi                             govardhan ( tata elxsi )           50000 / -
17                          best choreography  jodhaa akbar (azeem - o - shaan shahenshah)     hindi                     chinni prakash and rekha prakash           50000 / -
