    year            men 's singles           women 's singles                               men 's doubles                         women 's doubles                           mixed doubles
0   1969            flemming delfs              anne berglund                      keit arthur ray stevens         joke van beusekom marjan luesken           gert perneklo karin lindqvist
1   1971                rob ridder              anne berglund                   peter gardner john stretch                anne berglund lene køppen             peter gardner barbara giles
2   1973           jesper helledie                mette myhre                 stefan karlsson willy nilson              ann forest kathleen whiting        jesper helledie susanne johansen
3   1975            bruno wackfelt                pia nielsen                 bruno wackfelt goran sterner     lise lotte gottsche lilli b pedersen                tim stokes karen puttick
4   1977                andy goode               karen bridge            jesper toftlund niels christensen               karen bridge karen puttick                nigel tier karen puttick
5   1979       jens peter nierhoff             kirsten larsen            peter isaksson jan erik antonsson           sally leadbeater gillian clark  jens peter nierhoff charlotte pilgaard
6   1981          michael kjeldsen                helen troke           michael kjeldsen mark christiansen               dorte kjaer nettie nielsen                dipak tailor mary leeves
7   1983             claus thomsen                helen troke             christopher rees lyndon williams                lisa chapman jane shipman            anders nielsen gitte paulsen
8   1985             matthew smith  lisbeth stuer - lauridsen                    jan paulsen lars pedersen    lisbeth stuer - lauridsen lotte olsen         jan paulsen marian christiansen
9   1987             pontus jantti             helle andersen                  michael søgaard jens maibom            catrine bengtsson margit borg            jens maibom charlotte madsen
10  1989  thomas stuer - lauridsen             camilla martin  thomas stuer - lauridsen christian jacobsen          marlene thomsen trine johansson      christian jacobsen marlene thomsen
11  1991               jürgen koch              lotte thomsen            martin l hansen peter christensen            trine pedersen mette pedersen           peter christensen rikke broen
12  1993              jim laugesen             mette sørensen                      jim laugesen janek roos               mette sørensen rikke olsen        thomas stavnsgaard sara runesten
13  1995                peter gade          brenda beenhakker                      peter gade peder nissen              joanne wright donna kellogg               peder nissen mette hansen
14  1997             dicky palyama         judith meulendijks                    kasper ødum ove svejstrup                   lene mork jane bramsen           ove svejstrup britta andersen
15  1999             björn joppien             petra overzier                mathias boe kasper kim jensen            petra overzier anne honscheid             mathias boe karina sørensen
16  2001                 eric pang             juliane schenk             carsten mogensen rasmus andersen      kamila augustyn nadiezda kostiuczyk           rasmus andersen mette nielsen
17  2003             marc zwiebler               larisa griga      mikkel delbo larsen martin bille larsen            nina vislova valeria sorokina           marc zwiebler birgit overzier
18  2005              rajiv ouseph               janet köhler                rasmus bonde kasper henriksen                nina vislova olga kozlova        rasmus bonde christinna pedersen
19  2007      mads conrad petersen           karina jürgensen                     peter mills chris adcock             kristina ludikova olga konon      christian larsen joan christiansen
20  2009                emil holst                  anne hald                   sylvain grosjean sam magee  anastasia chervyakova romina gabdullina                jacco arends selena piek
21  2011            viktor axelsen             carolina marín         christopher coles matthew nottingham       mette poulsen ditte strunge larsen    kim astrup sørensen line kjaersfeldt
22  2013               fabian roth             stefani stoeva                 oliver babic kasper antonsen           stefani stoeva gabriela stoeva         david daugard maiken fruergaard
