    frequency                station                               operator                             language                genre
0    87.7 mhz     klasik nasional fm                                    rtm                                malay                music
1    88.1 mhz                 one fm                            media prima                 mandarin , cantonese         talk , music
2    88.5 mhz            nasional fm                                    rtm                                malay                music
3    88.9 mhz             capital fm                         star rfm radio                              english                music
4    89.3 mhz                  ai fm                                    rtm  mandarin , various chinese dialects         music , talk
5    89.9 mhz               bfm 89.9                              bfm media                              english  music , news , talk
6    90.3 mhz               traxx fm                                    rtm                              english         music , talk
7    90.7 mhz               putra fm              universiti putra malaysia                      malay , english         music , talk
8    91.1 mhz               asyik fm                                    rtm               jakun , semai , temiar         music , talk
9    91.5 mhz                 ikimfm  institute of islamic studies malaysia             malay , english , arabic         music , talk
10   92.3 mhz              minnal fm                                    rtm                                tamil         music , talk
11   92.9 mhz                 hitzfm                     amp radio networks                              english         music , talk
12   93.6 mhz                    ufm              universiti teknologi mara                      english , malay         music , talk
13   93.9 mhz                radio24                                bernama                      malay , english         news , music
14   94.5 mhz                 mix fm                     amp radio networks                              english         talk , music
15   95.3 mhz            nasional fm                                    rtm                                malay                music
16   95.8 mhz                 fly fm                            media prima                      english , malay         talk , music
17   96.3 mhz              minnal fm                                    rtm                                tamil         talk , music
18   96.7 mhz               sinar fm                     amp radio networks                                malay         talk , music
19   97.2 mhz                   klfm                                    rtm                                malay         talk , music
20   97.6 mhz                 hot fm                            media prima                                malay         talk , music
21   98.3 mhz     klasik nasional fm                                    rtm                                malay                music
22   98.8 mhz                 988 fm                         star rfm radio                  chinese (cantonese)         talk , music
23   99.3 mhz          thrfm (raaga)                     amp radio networks                                tamil         talk , music
24  100.1 mhz               traxx fm                                    rtm                              english         talk , music
25  100.9 mhz            selangor fm                                    rtm                                malay         talk , music
26  101.8 mhz                  my fm                     amp radio networks                  chinese (cantonese)         talk , music
27  102.5 mhz  asyik fm and salam fm                                    rtm                           orang asli         talk , music
28  103.0 mhz              melody fm                     amp radio networks                              chinese                music
29  103.3 mhz                 era fm                     amp radio networks                                malay         talk , music
30  104.1 mhz               best 104                     suara johor sdnbhd                                malay                music
31  104.9 mhz                 red fm                         star rfm radio                      english , malay         talk , music
32  105.3 mhz               suria fm                         star rfm radio                                malay         talk , music
33  105.7 mhz                 litefm                     amp radio networks                              english                music
34  106.7 mhz                  ai fm                                    rtm                              chinese         talk , music
35  107.5 mhz              pahang fm                                    rtm                                malay         talk , music
