    voting order         country          spokespersons       commentator                    broadcaster
0              1     netherlands        dick van bommel    teddy scholten                    nederland 1
1              2  united kingdom          michael aspel      david jacobs                           bbc1
2              2  united kingdom          michael aspel        david gell            bbc light programme
3              3           spain             pepe palau    federico gallo                            tve
4              4         ireland             frank hall        bunny carr                telefís éireann
5              4         ireland             frank hall       kevin roche                  radio éireann
6              5         germany               lia wöhr  hermann rockmann        ard deutsches fernsehen
7              6         austria       ernst grissemann   emil kollpacher                            orf
8              7          norway  sverre christophersen       erik diesen                 nrk and nrk p1
9              8         belgium             nand baert    herman verelst                            brt
10             8         belgium             nand baert    paule herreman                            rtb
11             9          monaco                    tbc   pierre tchernia               télé monte carlo
12            10          sweden            edvard matz    berndt friberg  sveriges radio - tv and sr p1
13            11          france                    tbc   pierre tchernia           première chaîne ortf
14            12        portugal  maria manuela furtado    gomes ferreira                            rtp
15            13           italy                    tbc   renato tagliani            programma nazionale
16            14         denmark            bent henius               tbc                          dr tv
17            15      luxembourg                    tbc   pierre tchernia              télé - luxembourg
18            16         finland             poppe berg       aarno walli                 tv - ohjelma 1
19            17      yugoslavia                    tbc    miloje orlović             televizija beograd
20            17      yugoslavia                    tbc      mladen delić              televizija zagreb
21            17      yugoslavia                    tbc      tomaž terček           televizija ljubljana
22            18     switzerland       alexandre burger    theodor haller                         tv drs
23            18     switzerland       alexandre burger     georges hardy                            tsr
24            18     switzerland       alexandre burger  giovanni bertini                            tsi
