               pac - 12  lost  tied   pct  years  total games
0   southern california   319    54  7015  119.0         1159
1            washington   424    50  6106  123.0         1153
2         arizona state   361    24  6090  100.0          954
3              colorado   463    36  5923  123.0         1170
4                  ucla   386    37  5902   94.0          987
5                  utah   435    31  5882  119.0         1094
6              stanford   437    49  5727  106.0         1080
7               arizona   428    33  5701  109.0         1034
8            california   496    51  5595  117.0         1184
9                oregon   471    46  5593  117.0         1121
10     washington state   526    45  4879  117.0         1071
11         oregon state   551    50  4820  116.0         1112
12                total  5297   506   577  113.3        13123
