    year        venue              winners               2nd place            3rd place
0   1998        krško     rafał okoniewski         aleš dryml , jr      hans n andersen
1   1999      gniezno     rafał okoniewski           karol malecha      jarosław hampel
2   2000    ljubljana          lukáš dryml  niels kristian iversen  zbigniew czerwiński
3   2001    pardubice       łukasz romanek         rafał kurmański     daniel davidsson
4   2002   daugavpils          matej žagar          kenneth bjerre     fredrik lindgren
5   2003      pocking       kenneth bjerre        janusz kołodziej     antonio lindbäck
6   2004       rybnik     antonio lindbäck             karol ząbik       morten risager
7   2005        mšeno          karol ząbik          kasts poudzuks    robert pettersson
8   2006      goričan        jurica pavlič          andriej karpov          lars hansen
9   2007  częstochowa       nicolai klindt           jurica pavlič         filip šitera
10  2008    stralsund        artur mroczka         maciej janowski       artem vodyakov
11  2009       tarnów  przemysław pawlicki         maciej janowski       martin vaculík
12  2010      goričan     dennis andersson     przemysław pawlicki         patryk dudek
13  2011    ljubljana       piotr pawlicki   michael jepsen jensen      vitaly belousov
14  year        venue              winners               2nd place            3rd place
