     res   record                 opponent                         method                                      event  round   time                                     location
0    win  19 - 10    yelka torres gallegos            submission (armbar)                           300 sparta mma 4      1   1:45              santiago de surco , lima , peru
1   loss  18 - 10           kalindra faria            submission (armbar)                         mma super heroes 1      1   2:05                louveira , são paulo , brazil
2    win   18 - 9           jessica suelen                  tko (punches)              mma fight show 2: teresópolis      1   0:49        teresópolis , rio de janeiro , brazil
3   loss   17 - 9              jessica eye           decision (unanimous)         naafs : fight night in the flats 9      3   5:00             cleveland , ohio , united states
4   loss   17 - 8            tonya evinger               decision (split)                             fight hard mma      3   5:00        st charles , missouri , united states
5   loss   17 - 7            munah holland                     ko (punch)                            matrix fights 6      2   2:20  philadelphia , pennsylvania , united states
6    win   17 - 6            sheila santos            submission (armbar)                   iron man championship 10      1  n / a                  salinópolis , pará , brazil
7    win   16 - 6            antonia deize           submission (keylock)                             amazon fight 8      1   2:41                        belém , pará , brazil
8   loss   15 - 6              tara larosa         submission (heel hook)      shark fights 14: horwich vs villefort      2   0:28              lubbock , texas , united states
9   loss   15 - 5              cat zingano       tko (punches and elbows)                 crowbar mma : winter brawl      2   3:37   grand forks , north dakota , united states
10  loss   15 - 4             hitomi akano   submission (triangle armbar)  strikeforce challengers : riggs vs taylor      2   1:48            phoenix , arizona , united states
11   win   15 - 3              aline sério                  tko (punches)                jungle fight 17: vila velha      1   3:42                      espírito santo , brazil
12   win   14 - 3          vanessa maguila            submission (armbar)                    vila velha fight combat      1   2:31                      espírito santo , brazil
13   win   13 - 3  daiana silva dos santos                  tko (punches)                       bitetti combat mma 5      3   3:27                           são paulo , brazil
14   win   12 - 3           kalindra faria          tko (corner stoppage)                       x - combat ultra mma      2   1:52                      espírito santo , brazil
15   win   11 - 3                ana maria                   ko (punches)                  midway superfight vitoria      3   3:53                      espírito santo , brazil
16   win   10 - 3                ana maria           decision (unanimous)                 prime : mma championship 3      3   5:00                    salvador , bahia , brazil
17   win    9 - 3            lashonda knox                      ko (knee)              freestyle combat challenge 35      1   0:11           racine , wisconsin , united states
18   win    8 - 3          sofia bagherdai            submission (armbar)                    fff 4: call of the wild      2   1:52     los angeles , california , united states
19   win    7 - 3          jessica aguilar           decision (unanimous)                     bodogfight : vancouver      3   5:00        vancouver , british columbia , canada
20   win    6 - 3             molly helsel            decision (majority)                    bodogfight : costa rica      3   5:00                                   costa rica
21  loss    5 - 3              rosi sexton            submission (armbar)          bodogfight : clash of the nations      1   4:15                    saint petersburg , russia
22  loss    5 - 2           miku matsumoto           decision (unanimous)                           mars 4: new deal      2   5:00                                tokyo , japan
23   win    5 - 1           miku matsumoto  technical submission (armbar)                            mars : attack 1      2   1:17                                tokyo , japan
24   win    4 - 1               maria naja            submission (armbar)                            clube da luta 5      1   1:05                               bahia , brazil
25  loss    3 - 1     ana michelle tavares    submission (triangle choke)                               show fight 3      2  n / a                           são paulo , brazil
26   win    3 - 0              luane taise            submission (armbar)                       night of the fight 1      1   3:20                      espírito santo , brazil
27   win    2 - 0            vanessa porto           decision (unanimous)                 barra submission wrestling      2   5:00                                       brazil
28   win    1 - 0               iris lopes            submission (armbar)                 vitoria extreme fighting 2      2   3:40                    vitória , brazil , brazil
