    rank          country  year  males  females  total
0      1      south korea  2011  39.30     19.7  28.40
1      2          hungary  2009  33.80      8.0  19.80
2      3            japan  2009  29.20     10.5  19.70
3      4          finland  2009  26.00      8.9  17.30
4      5         slovenia  2009  28.20      6.7  17.20
5      6          estonia  2009  31.20      4.8  16.80
6      7          belgium  2005  24.60      8.4  16.20
7      8      switzerland  2007  20.60      8.7  14.30
8      9           france  2008  21.60      6.8  13.80
9     10           poland  2008  23.30      3.5  12.90
10    11          austria  2009  19.70      5.2  12.00
11    12   czech republic  2009  20.10      3.4  11.40
12    13          ireland  2009  18.00      4.6  11.30
13    14      new zealand  2007  17.80      5.0  11.20
14    15           sweden  2008  16.10      6.0  11.00
15    16            chile  2007  18.50      4.1  11.00
16    17           norway  2009  15.70      6.2  10.90
17    18    united states  2007  17.10      4.3  10.50
18    19          iceland  2009  16.60      3.9  10.30
19    20           canada  2004  15.70      4.9  10.20
20    21          denmark  2006  15.30      5.3   9.90
21    22  slovak republic  2011  17.40      2.8   9.90
22    23          germany  2006  14.50      4.3   9.10
23    24      netherlands  2009  11.20      4.6   7.80
24    25       luxembourg  2008  13.30      2.7   7.80
25    26        australia  2006  11.90      3.3   7.50
26    27         portugal  2009  12.50      2.9   7.30
27    28   united kingdom  2009   9.80      2.6   6.20
28    29            spain  2008   9.70      2.6   6.00
29    30           israel  2008   8.80      1.6   5.00
30    31            italy  2007   8.00      2.1   4.90
31    32           mexico  2008   7.50      1.5   4.40
32    33           turkey  2008   5.36      2.5   3.94
33    34           greece  2009   4.80      0.8   2.80
