    rank               nation  gold  silver  bronze  total
0      1                 cuba    22      19      10     51
1      2              jamaica     9       6       7     22
2      3               mexico     3       4       4     11
3      4            venezuela     2       1       5      8
4      5          puerto rico     1       7       4     12
5      6  trinidad and tobago     1       0       3      4
6      7            guatemala     0       1       0      1
7      8             suriname     0       0       2      2
8      9               panama     0       0       1      1
9      9              grenada     0       0       1      1
10     9              bahamas     0       0       1      1
