         continent       location            city          date  year
0    north america  united states  san bernardino        may 15  1940
1        caribbean    puerto rico        san juan   november 10  1967
2  central america     costa rica        san josã   december 28  1970
3          oceania      australia          sydney        may 30  1971
4           asia 1          japan           tokyo       july 20  1971
5           europe    netherlands         zaandam     august 21  1971
6    south america         brazil  rio de janeiro   february 13  1979
7           asia 2    philippines          manila  september 27  1981
8           africa        morocco      casablanca   december 18  1992
9      middle east         israel        tel aviv    october 14  1993
