    draw                    language                 artist                      song  place  points
0      1                 montenegrin       stefan filipović         zauvijek volim te     14      23
1      2            hebrew , english            boaz ma'uda     the fire in your eyes      5     104
2      3  serbian , german , finnish           kreisiraadio                 leto svet     18       8
3      4                     english           geta burlacu         a century of love     12      36
4      5                     italian                 miodio                  complice     19       5
5      6                   imaginary                 ishtar                 o julissi     17      16
6      7                     english        elnur and samir             day after day      6      96
7      8                     slovene         rebeka dremelj            vrag naj vzame     11      36
8      9                     english  maria haukaas storeng         hold on be strong      4     106
9     10                     english               isis gee                  for life     10      42
10    11            english , french      dustin the turkey     irelande douze pointe     15      22
11    12           english , catalan                 gisela                  casanova     16      22
12    13                     bosnian                   laka                   pokušaj      9      72
13    14          english , armenian                sirusho   qélé , qélé (քելե քելե)      2     139
14    15                     english                   hind  your heart belongs to me     13      27
15    16                     finnish            teräsbetoni    missä miehet ratsastaa      8      79
16    17          romanian , italian          nico and vlad    pe - o margine de lume      7      94
17    18                     english             dima bilan                   believe      3     135
18    19                     english               kalomira        secret combination      1     156
