    rank                nation  gold  silver  bronze  total
0      1                  cuba     7       4       3     14
1      2             venezuela     6       6       4     16
2      3               jamaica     5       3       5     13
3      4                mexico     3       4       5     12
4      5              colombia     3       0       4      7
5      6           puerto rico     1       4       4      9
6      7  netherlands antilles     1       1       0      2
7      8               bahamas     1       0       1      2
8      9                guyana     1       1       0      2
9     10             guatemala     1       0       0      1
10    11                panama     0       3       1      4
11    12   trinidad and tobago     0       2       2      4
12    13              barbados     0       1       0      1
