  macedonian population in vojvodina   1961  number 1971   1981   1991   2002
0                             dužine    223          143     90     84     68
1                            glogonj   1001          976   1201    818    367
2                           gudurica    299          247    192    171    133
3                          hajdučica    215          192    155    138    123
4                           kačarevo   3117         3298   3205   2473   1467
5                             jabuka   3471         3325   4179   3177   2054
6                            pančevo    597         1095   1662   1748   1196
7                          plandište   1111         1065   1027   1038    910
8                       velika greda    181          168    163    171    136
9                          vojvodina  15190        16527  18897  17472  11785
