        fuel gas  upper index kcal / nm 3  lower index kcal / nm 3  upper index mj / nm 3  lower index mj / nm 3
0       hydrogen                    11528                     9715                  48.23                  40.65
1        methane                    12735                    11452                  53.28                  47.91
2         ethane                    16298                    14931                  68.19                  62.47
3       ethylene                    15253                    14344                  63.82                  60.01
4    natural gas                    12837                    11597                  53.71                  48.52
5        propane                    19376                    17817                  81.07                  74.54
6      propylene                    18413                    17180                  77.04                  71.88
7     n - butane                    22066                    20336                  92.32                  85.08
8   iso - butane                    21980                    20247                  91.96                  84.71
9   butylene - 1                    21142                    19728                  88.46                  82.54
10           lpg                    20755                    19106                  86.84                  79.94
11     acetylene                    14655                    14141                  61.32                  59.16
