    pick          player    position    nationality                 nhl team              college / junior / club team
0    129     bob lorimer     defence         canada       new york islanders  michigan technological university (ncaa)
1    130     larry patey      centre         canada  california golden seals                   braintree hawks (nejhl)
2    131     peter folco     defence         canada        vancouver canucks                   quebec remparts (qmjhl)
3    132        dave pay   left wing         canada      toronto maple leafs            university of wisconsin (ncaa)
4    133    bob bilodeau     defence         canada           atlanta flames             new westminster bruins (wchl)
5    134       gord lane     defence         canada      pittsburgh penguins             new westminster bruins (wchl)
6    135  dennis o'brien     defence         canada        detroit red wings            laurentian university ( ciau )
7    136    jim johnston      centre         canada    minnesota north stars                  peterborough petes (oha)
8    137   dan o'donohue     defence         canada      philadelphia flyers          sault ste marie greyhounds (oha)
9    138      tom newman     defence         canada        detroit red wings                   kitchener rangers (oha)
10   139      ray bibeau     defence         canada        detroit red wings         montreal junior canadiens (qmjhl)
11   140    jack johnson     defence  united states      chicago black hawks            university of wisconsin (ncaa)
12   141     steve alley   left wing  united states      chicago black hawks            university of wisconsin (ncaa)
13   142      jim pettie  goaltender         canada            boston bruins           st catharines black hawks (oha)
14   143      bob wright  right wing         canada       montreal canadiens           pembroke lumber kings ( cjahl )
