    year                          entrant               chassis            engine  points
0   1966               ken tyrrell racing          matra ms5 f2  cosworth str - 4       0
1   1967               ken tyrrell racing          matra ms7 f2  cosworth str - 4       1
2   1967               cooper car company           cooper t81b      maserati v12       1
3   1968                 scuderia ferrari           ferrari 312       ferrari v12      27
4   1969        motor racing developments         brabham bt26a           ford v8      37
5   1970                 scuderia ferrari          ferrari 312b       ferrari f12      40
6   1971                 scuderia ferrari          ferrari 312b       ferrari f12      19
7   1971                 scuderia ferrari         ferrari 312b2       ferrari f12      19
8   1972                 scuderia ferrari         ferrari 312b2       ferrari f12      27
9   1973                 scuderia ferrari         ferrari 312b2       ferrari f12      12
10  1973                 scuderia ferrari         ferrari 312b3       ferrari f12      12
11  1973             yardley team mclaren           mclaren m23           ford v8      12
12  1973       frank williams racing cars       iso marlboro ir           ford v8      12
13  1974           john player team lotus             lotus 72e           ford v8      12
14  1974           john player team lotus              lotus 76           ford v8      12
15  1975           john player team lotus             lotus 72e           ford v8       3
16  1976       frank williams racing cars  wolf - williams fw05           ford v8       0
17  1976               walter wolf racing  wolf - williams fw05           ford v8       0
18  1976                      team ensign           ensign n176           ford v8       0
19  1977  team tissot ensign with castrol           ensign n177           ford v8       0
20  1978               team tissot ensign           ensign n177           ford v8       0
21  1979                   ligier gitanes           ligier js11           ford v8       3
