            class                    operator  no built   year built  cars per set           unit nos
0   class 170 / 1                crosscountry        17  1998 - 1999             3  170 101 - 170 110
1   class 170 / 1                crosscountry        17  1998 - 1999             2  170 111 - 170 117
2   class 170 / 2              greater anglia        12         1999             3  170 201 - 170 208
3   class 170 / 2              greater anglia        12         2002             2  170 270 - 170 273
4   class 170 / 3  first transpennine express         9         2000             2  170 301 - 170 309
5   class 170 / 3              first scotrail         4         2004             3  170 393 - 170 396
6   class 170 / 3                crosscountry         2         2002             3  170 397 - 170 398
7   class 170 / 4              first scotrail        24  1999 - 2001             3  170 401 - 170 424
8   class 170 / 4              first scotrail        10  2003 - 2004             3  170 425 - 170 434
9   class 170 / 4              first scotrail        12  2004 - 2005             3  170 450 - 170 461
10  class 170 / 4              first scotrail         2         2001             3  170 470 - 170 471
11  class 170 / 4              first scotrail         7         2004             3  170 472 - 170 478
12  class 170 / 5              london midland        17  1999 - 2000             2  170 501 - 170 517
13  class 170 / 5                crosscountry         6  1999 - 2000             2  170 518 - 170 523
14  class 170 / 6              london midland         6         2000             3  170 630 - 170 635
