    year                   mens singles               womens singles                                    mens doubles                             womens doubles                                     mixed doubles
0   1964         feliks glapka , poznań  teresa masłowska , warszawa              feliks glapka marian grys , poznań                             no competition    bolesław suterski stanisława suterska , poznań
1   1965     aleksander koczur , kraków  teresa masłowska , warszawa  andrzej domagała krzysztof englander , wrocław                             no competition    bolesław suterski stanisława suterska , poznań
2   1966       wiesław świątczak , łódź  teresa masłowska , warszawa  andrzej domagała krzysztof englander , wrocław                             no competition         wiesław świątczak irena józefowicz , łódź
3   1967       wiesław świątczak , łódź   barbara rojewska , olsztyn  andrzej domagała krzysztof englander , wrocław                             no competition     krzysztof englander bożena basińska , wrocław
4   1968  krzysztof englander , wrocław    irena karolczak , wrocław            jerzy przybylski lech woźny , poznań                             no competition     krzysztof englander irena karolczak , wrocław
5   1969     andrzej domagała , wrocław  teresa masłowska , warszawa  andrzej domagała krzysztof englander , wrocław                             no competition  bogusław żołądkowski teresa masłowska , warszawa
6   1970       wiesław świątczak , łódź    irena karolczak , wrocław            jerzy przybylski lech woźny , poznań                             no competition              jan makarus jolanta proch , szczecin
7   1971       wiesław świątczak , łódź    lidia baczyńska , wrocław  andrzej domagała krzysztof englander , wrocław                             no competition          wiesław świątczak ewa astasiewicz , łódź
8   1972              wiesław danielski              irena karolczak         wiesław danielski zygmunt skrzypczyński            lidia baczyńska irena karolczak                 leszek nowakowski hana snochowska
9   1973               andrzej domagała              irena karolczak         wiesław danielski zygmunt skrzypczyński                             no competition             sławomir wloszczynski irena karolczak
10  1974                stanisław rosko              irena karolczak                   ryszard borek stanisław rosko            irena karolczak hana snochowska                 leszek nowakowski hana snochowska
11  1975          zygmunt skrzypczyński              irena karolczak              andrzej domagała wiesław świątczak            irena karolczak hana snochowska                  leslaw markowicz irena karolczak
12  1976          zygmunt skrzypczyński              elżbieta utecht              krzysztof englander janusz labisko            irena karolczak wanda czamańska                  leslaw markowicz irena karolczak
13  1978          zygmunt skrzypczyński              elżbieta utecht       zygmunt skrzypczyński sławomir włoszyński          bożena wojtkowska elżbieta utecht                          janusz labisko anna zyśk
14  1979                   brunon rduch              elżbieta utecht       zygmunt skrzypczyński sławomir włoszyński             bożena wojtkowska maria bahryj             zygmunt skrzypczyński elżbieta utecht
15  1980          zygmunt skrzypczyński            bożena wojtkowska            zygmunt skrzypczyński janusz labisko             bożena wojtkowska ewa rusznica             zygmunt skrzypczyński elżbieta utecht
16  1981                   brunon rduch            bożena wojtkowska                    brunon rduch norbert węgrzyn          bożena wojtkowska zofia żółtańska                         jerzy dołhan ewa rusznica
17  1982                stanisław rosko            bożena wojtkowska                stanisław rosko kazimierz ciurys             bożena wojtkowska ewa rusznica                    jerzy dołhan bożena wojtkowska
18  1983                stanisław rosko                 ewa rusznica                  jerzy dołhan grzegorz olchowik        bożena wojtkowska bożena siemieniec                kazimierz ciurys bożena wojtkowska
19  1984                stanisław rosko            bożena wojtkowska                  jerzy dołhan grzegorz olchowik               bożena wojtkowska ewa wilman                kazimierz ciurys bożena wojtkowska
20  1985              grzegorz olchowik            bożena wojtkowska                  jerzy dołhan grzegorz olchowik          bożena siemieniec zofia żółtańska                           jerzy dołhan ewa wilman
21  1986              grzegorz olchowik            bożena siemieniec                  jerzy dołhan grzegorz olchowik          bożena siemieniec zofia żółtańska                           jerzy dołhan ewa wilman
22  1987                   jerzy dołhan                bożena haracz                  jerzy dołhan grzegorz olchowik            bożena haracz bożena siemieniec                        jerzy dołhan bożena haracz
23  1988                   jerzy dołhan            bożena siemieniec                  jerzy dołhan grzegorz olchowik            bożena haracz bożena siemieniec                        jerzy dołhan bożena haracz
24  1989               jacek hankiewicz            bożena siemieniec                   jerzy dołhan jacek hankiewicz            bożena haracz bożena siemieniec                        jerzy dołhan bożena haracz
25  1990               jacek hankiewicz                   beata syta                   jerzy dołhan jacek hankiewicz                   bożena haracz beata syta                        jerzy dołhan bożena haracz
26  1991               jacek hankiewicz          katarzyna krasowska                   jerzy dołhan jacek hankiewicz            bożena haracz bożena siemieniec                        jerzy dołhan bożena haracz
27  1992                  dariusz zięba          katarzyna krasowska                   jerzy dołhan jacek hankiewicz                   bożena haracz bożena bąk                        jerzy dołhan bożena haracz
28  1993               jacek hankiewicz          katarzyna krasowska                  dariusz zięba jacek hankiewicz                   bożena haracz bożena bąk                        jerzy dołhan bożena haracz
29  1994                  dariusz zięba          katarzyna krasowska                    jerzy dołhan damian pławecki          monika lipińska sylwia rutkiewicz                      damian pławecki dorota borek
30  1995                  dariusz zięba          katarzyna krasowska                    jerzy dołhan damian pławecki           dorota borek katarzyna krasowska                        jerzy dołhan bożena haracz
31  1996                  dariusz zięba          katarzyna krasowska                  dariusz zięba jacek hankiewicz         monika bienkowska katarzyna boczek                robert mateusiak sylwia rutkiewicz
32  1997             jacek niedźwiedzki          katarzyna krasowska                    jerzy dołhan damian pławecki           dorota borek katarzyna krasowska                      damian pławecki dorota borek
33  1998             jacek niedźwiedzki          katarzyna krasowska                   michał łogosz damian pławecki          bożena haracz katarzyna krasowska                   damian pławecki dorota grzejdak
34  1999               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak           bożena haracz joanna szleszyńska                robert mateusiak monika bienkowska
35  2000             jacek niedźwiedzki          katarzyna krasowska                  michał łogosz robert mateusiak          bożena haracz katarzyna krasowska                  robert mateusiak barbara kulanty
36  2001             jacek niedźwiedzki              kamila augustyn                  michał łogosz robert mateusiak         barbara kulanty joanna szleszyńska                  robert mateusiak barbara kulanty
37  2002               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak         kamila augustyn joanna szleszyńska                  robert mateusiak barbara kulanty
38  2003             jacek niedźwiedzki              kamila augustyn                  michał łogosz robert mateusiak         kamila augustyn paulina matusewicz                  robert mateusiak barbara kulanty
39  2004               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak        kamila augustyn nadieżda kostiuczyk                  robert mateusiak barbara kulanty
40  2005               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak        kamila augustyn nadieżda kostiuczyk                  robert mateusiak barbara kulanty
41  2006               przemysław wacha             angelika węgrzyn                    rafał hawel przemysław wacha        kamila augustyn nadieżda kostiuczyk              robert mateusiak nadieżda kostiuczyk
42  2007               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak        kamila augustyn nadieżda kostiuczyk              robert mateusiak nadieżda kostiuczyk
43  2008               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak        kamila augustyn nadieżda kostiuczyk              robert mateusiak nadieżda kostiuczyk
44  2009               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak  małgorzata kurdelska agnieszka wojtkowska                  robert mateusiak kamila augustyn
45  2010               przemysław wacha              kamila augustyn                  michał łogosz robert mateusiak        kamila augustyn nadieżda kostiuczyk              robert mateusiak nadieżda kostiuczyk
