     rank          nation  gold  silver  bronze  total
0       1    soviet union     7       6       0     13
1       2         hungary     2       2       1      5
2       3           japan     2       0       3      5
3       4         romania     1       3       1      5
4       5            iran     1       0       1      2
5       6          turkey     1       0       1      2
6       7         finland     1       0       0      1
7       7          france     1       0       0      1
8       9        bulgaria     0       2       2      4
9      10   united states     0       1       2      3
10     11    east germany     0       1       0      1
11     11           india     0       1       0      1
12     13  czechoslovakia     0       0       1      1
13     13        mongolia     0       0       1      1
14     13          poland     0       0       1      1
15     13     south korea     0       0       1      1
16     13          sweden     0       0       1      1
17  total           total    16      16      16     48
