    year  population  romanians  hungarians  germans
0   year  population  romanians  hungarians  germans
1   1880        8621       0.4%        5.9%    87.5%
2   1890        9580       0.4%        7.5%    89.8%
3   1900       10152       0.5%       15.1%    82.7%
4   1910       10893         1%       20.8%    74.2%
5   1930       10873       6.1%       19.3%    70.3%
6   1941       10781         8%       19.2%    67.2%
7   1956       11281      30.6%       21.5%    43.6%
8   1966       13633        39%       20.7%    36.1%
9   1977       14682      41.3%       19.7%    34.2%
10  1992       11830      66.8%       16.6%     9.4%
11  2002       11136      72.4%       14.8%     4.6%
