    rank                country      continent                  summer olympics                  winter olympics  total
0      1          united states  north america  4 ( 1904 , 1932 , 1984 , 1996 )  4 ( 1932 , 1960 , 1980 , 2002 )      8
1      2                 france         europe                2 ( 1900 , 1924 )         3 ( 1924 , 1968 , 1992 )      5
2      3                  japan           asia         2 ( 1940 , 1964 , 2020 )         2 ( 1940 , 1972 , 1998 )      4
3      4         united kingdom         europe  3 ( 1908 , 1944 , 1948 , 2012 )                                0      3
4      4                 canada  north america                       1 ( 1976 )                2 ( 1988 , 2010 )      3
5      4                  italy         europe                       1 ( 1960 )         2 ( 1944 , 1956 , 2006 )      3
6      4                germany         europe         2 ( 1916 , 1936 , 1972 )                       1 ( 1936 )      3
7      8            south korea           asia                       1 ( 1988 )                       1 ( 2018 )      2
8      8  soviet union / russia         europe                       1 ( 1980 )                       1 ( 2014 )      2
9      8                 greece         europe                2 ( 1896 , 2004 )                                0      2
10     8              australia        oceania                2 ( 1956 , 2000 )                                0      2
11     8                 norway         europe                                0                2 ( 1952 , 1994 )      2
12     8                austria         europe                                0                2 ( 1964 , 1976 )      2
13     8            switzerland         europe                                0                2 ( 1928 , 1948 )      2
14    15                 brazil  south america                       1 ( 2016 )                                0      1
15    15                  china           asia                       1 ( 2008 )                                0      1
16    15                  spain         europe                       1 ( 1992 )                                0      1
17    15             yugoslavia         europe                                0                       1 ( 1984 )      1
18    15                 mexico  north america                       1 ( 1968 )                                0      1
19    15                finland         europe                1 ( 1940 , 1952 )                                0      1
20    15            netherlands         europe                       1 ( 1928 )                                0      1
21    15                belgium         europe                       1 ( 1920 )                                0      1
22    15                 sweden         europe                       1 ( 1912 )                                0      1
